date,symbol,open,high,low,close,volume,source,fetchedAt,series
2024-03-20,VNFIN,1524.03,1565.19,1514.7,1564.12,329321200,vndirect_dchart_public,2026-06-08T09:01:06.147844+00:00,banking_index
2024-03-21,VNFIN,1574.37,1595.66,1569.69,1595.66,364112600,vndirect_dchart_public,2026-06-08T09:01:06.147848+00:00,banking_index
2024-03-22,VNFIN,1603.93,1621.94,1591.17,1601.5,405594400,vndirect_dchart_public,2026-06-08T09:01:06.147851+00:00,banking_index
2024-03-25,VNFIN,1600.75,1608.42,1579.05,1584.47,372197000,vndirect_dchart_public,2026-06-08T09:01:06.147855+00:00,banking_index
2024-03-26,VNFIN,1583.09,1611.19,1579.25,1611.19,324535500,vndirect_dchart_public,2026-06-08T09:01:06.147859+00:00,banking_index
2024-03-27,VNFIN,1611.55,1616.51,1598.36,1609.42,229901600,vndirect_dchart_public,2026-06-08T09:01:06.147862+00:00,banking_index
2024-03-28,VNFIN,1616.06,1634.95,1609.42,1630.69,338015200,vndirect_dchart_public,2026-06-08T09:01:06.147865+00:00,banking_index
2024-03-29,VNFIN,1632.12,1632.59,1619.17,1624.64,266237500,vndirect_dchart_public,2026-06-08T09:01:06.147870+00:00,banking_index
2024-04-01,VNFIN,1618.45,1622.92,1602.66,1616.1,271412500,vndirect_dchart_public,2026-06-08T09:01:06.147874+00:00,banking_index
2024-04-02,VNFIN,1605.54,1611.84,1587.41,1611.84,384441000,vndirect_dchart_public,2026-06-08T09:01:06.147878+00:00,banking_index
2024-04-03,VNFIN,1608.68,1613.7,1588.18,1588.7,309015400,vndirect_dchart_public,2026-06-08T09:01:06.147881+00:00,banking_index
2024-04-04,VNFIN,1589.45,1594.66,1575.17,1575.17,272331700,vndirect_dchart_public,2026-06-08T09:01:06.147886+00:00,banking_index
2024-04-05,VNFIN,1562.02,1569.05,1554.18,1556.89,306554400,vndirect_dchart_public,2026-06-08T09:01:06.147889+00:00,banking_index
2024-04-08,VNFIN,1555.45,1564.96,1547.12,1556.86,261137700,vndirect_dchart_public,2026-06-08T09:01:06.147893+00:00,banking_index
2024-04-09,VNFIN,1559.02,1577.45,1552.1,1577.45,202556100,vndirect_dchart_public,2026-06-08T09:01:06.147897+00:00,banking_index
2024-04-10,VNFIN,1584.5,1588.92,1570.68,1570.68,200562100,vndirect_dchart_public,2026-06-08T09:01:06.147901+00:00,banking_index
2024-04-11,VNFIN,1568.62,1572.93,1556.98,1566.74,185305700,vndirect_dchart_public,2026-06-08T09:01:06.147904+00:00,banking_index
2024-04-12,VNFIN,1567.4,1608.65,1566.8,1607.56,279770200,vndirect_dchart_public,2026-06-08T09:01:06.147909+00:00,banking_index
2024-04-15,VNFIN,1606.21,1618.21,1527.16,1527.16,485850000,vndirect_dchart_public,2026-06-08T09:01:06.147912+00:00,banking_index
2024-04-16,VNFIN,1527.58,1542.0,1505.49,1536.44,426071100,vndirect_dchart_public,2026-06-08T09:01:06.147916+00:00,banking_index
2024-04-17,VNFIN,1536.75,1544.08,1504.3,1504.81,275034700,vndirect_dchart_public,2026-06-08T09:01:06.147919+00:00,banking_index
2024-04-19,VNFIN,1499.7,1508.43,1471.24,1486.82,369308400,vndirect_dchart_public,2026-06-08T09:01:06.147923+00:00,banking_index
2024-04-22,VNFIN,1499.89,1521.55,1499.74,1514.21,235557900,vndirect_dchart_public,2026-06-08T09:01:06.147927+00:00,banking_index
2024-04-23,VNFIN,1514.07,1524.77,1492.31,1506.06,270325100,vndirect_dchart_public,2026-06-08T09:01:06.147930+00:00,banking_index
2024-04-24,VNFIN,1518.33,1541.71,1515.67,1538.61,240194300,vndirect_dchart_public,2026-06-08T09:01:06.147934+00:00,banking_index
2024-04-25,VNFIN,1539.68,1539.68,1519.91,1528.24,163656200,vndirect_dchart_public,2026-06-08T09:01:06.147937+00:00,banking_index
2024-04-26,VNFIN,1519.44,1538.5,1518.29,1533.21,191407700,vndirect_dchart_public,2026-06-08T09:01:06.147941+00:00,banking_index
2024-05-02,VNFIN,1536.31,1537.59,1521.45,1529.02,150721000,vndirect_dchart_public,2026-06-08T09:01:06.147944+00:00,banking_index
2024-05-03,VNFIN,1532.74,1548.75,1531.32,1538.75,179375900,vndirect_dchart_public,2026-06-08T09:01:06.147948+00:00,banking_index
2024-05-06,VNFIN,1547.84,1562.74,1543.31,1562.74,230120500,vndirect_dchart_public,2026-06-08T09:01:06.147955+00:00,banking_index
2024-05-07,VNFIN,1567.92,1568.2,1554.05,1560.68,156501000,vndirect_dchart_public,2026-06-08T09:01:06.147959+00:00,banking_index
2024-05-08,VNFIN,1553.85,1565.51,1545.06,1557.71,250986400,vndirect_dchart_public,2026-06-08T09:01:06.147962+00:00,banking_index
2024-05-09,VNFIN,1562.98,1568.04,1546.02,1554.91,193352000,vndirect_dchart_public,2026-06-08T09:01:06.147965+00:00,banking_index
2024-05-10,VNFIN,1558.82,1559.05,1543.12,1551.65,162897400,vndirect_dchart_public,2026-06-08T09:01:06.147969+00:00,banking_index
2024-05-13,VNFIN,1555.51,1556.69,1541.54,1547.61,176358500,vndirect_dchart_public,2026-06-08T09:01:06.147972+00:00,banking_index
2024-05-14,VNFIN,1553.49,1562.99,1546.75,1549.47,158443900,vndirect_dchart_public,2026-06-08T09:01:06.147975+00:00,banking_index
2024-05-15,VNFIN,1555.96,1567.38,1552.05,1559.66,238212400,vndirect_dchart_public,2026-06-08T09:01:06.147979+00:00,banking_index
2024-05-16,VNFIN,1575.01,1597.73,1570.32,1596.03,314245000,vndirect_dchart_public,2026-06-08T09:01:06.147983+00:00,banking_index
2024-05-17,VNFIN,1599.2,1607.2,1593.19,1602.72,275986900,vndirect_dchart_public,2026-06-08T09:01:06.147987+00:00,banking_index
2024-05-20,VNFIN,1614.85,1622.16,1609.77,1611.86,326159500,vndirect_dchart_public,2026-06-08T09:01:06.147990+00:00,banking_index
2024-05-21,VNFIN,1606.87,1608.22,1586.48,1601.13,262214800,vndirect_dchart_public,2026-06-08T09:01:06.147993+00:00,banking_index
2024-05-22,VNFIN,1596.49,1600.13,1575.45,1576.82,310205700,vndirect_dchart_public,2026-06-08T09:01:06.147997+00:00,banking_index
2024-05-23,VNFIN,1574.02,1586.44,1561.09,1586.44,252696200,vndirect_dchart_public,2026-06-08T09:01:06.148000+00:00,banking_index
2024-05-24,VNFIN,1586.03,1605.83,1555.88,1569.47,423861900,vndirect_dchart_public,2026-06-08T09:01:06.148004+00:00,banking_index
2024-05-27,VNFIN,1572.95,1576.62,1560.9,1572.71,181660300,vndirect_dchart_public,2026-06-08T09:01:06.148007+00:00,banking_index
2024-05-28,VNFIN,1580.34,1590.5,1572.74,1590.5,245712000,vndirect_dchart_public,2026-06-08T09:01:06.148011+00:00,banking_index
2024-05-29,VNFIN,1595.22,1596.01,1578.96,1581.0,278401400,vndirect_dchart_public,2026-06-08T09:01:06.148014+00:00,banking_index
2024-05-30,VNFIN,1576.53,1576.53,1555.19,1573.54,288628400,vndirect_dchart_public,2026-06-08T09:01:06.148017+00:00,banking_index
