date,category,indicator,value,source_file,sheet,orientation,source,parserVersion
2020-03-31,money_credit,Tiền gửi của cư dân - % so với cùng kỳ (M),0.0843,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của cư dân - % so với tháng trước (M),-0.0065,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của cư dân - % từ đầu năm (M),0.0324,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của cư dân - Giá trị (M),4986181.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng phương tiện thanh toán (M2) - % so với cùng kỳ (M),0.1348,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng phương tiện thanh toán (M2) - % so với tháng trước (M),0.0077,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng phương tiện thanh toán (M2) - % từ đầu năm (M),0.0172,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng phương tiện thanh toán (M2) - Giá trị (M),10755572.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng dư nợ tín dụng - % so với cùng kỳ (M),0.1164,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng dư nợ tín dụng - % so với tháng trước (M),0.0113,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng dư nợ tín dụng - % từ đầu năm (M),0.0131,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tổng dư nợ tín dụng - Giá trị (M),8302412.0,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_USD - Cá nhân (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_USD - Tổ chức (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Cao nhất (M),0.0475,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Thấp nhất (M),0.043,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Cao nhất (M),0.068,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Thấp nhất (M),0.053,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
